Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Belarus,2016,4.691710558,3.718399139,120.0198257,24.88316275,165.6871325,2401.065596,14440.78239,1284.711918,8134.150029,667.4574779,14480.36119,19359.59314,45899.27466,21263.74115,1.904497157,0.214931407,291.5638841,8188.41129,8100.14,8377.605442,14462.0991
Belarus,2017,4.639462353,3.6664606,113.6047173,23.61565846,152.1208359,2429.177441,14624.50635,1297.011014,8180.10495,662.6692455,14637.87477,19712.97264,46340.26135,21496.83134,1.859143546,0.197992408,295.2146829,8264.966736,8184.6,8483.545559,14580.6757
Belgium,1990,5.428403389,4.54148896,110.5438451,35.1056513,323.1410268,2334.903408,3570.717347,331.3080056,5066.845813,538.0810971,15977.86231,8377.167573,22374.01534,24880.24716,3.367132152,2.096979284,608.2174989,6489.246707,6479.55,3033.982228,6302.601872
Belgium,1991,5.537521673,4.455155758,101.1661032,38.57811832,317.3719402,2250.834309,3554.248019,352.4602664,4904.277078,550.3643713,15585.46116,8298.359541,21696.47018,24701.5768,3.417325373,2.118032926,601.4089388,6348.083821,6349.3,2952.250216,6048.774394
Belgium,1992,5.577656437,4.509884647,94.47904786,47.89419042,307.3097293,2201.223844,3553.678352,371.2376627,4811.290623,526.0314166,15504.58207,8333.278138,21402.94164,24725.94219,2.710569428,2.034300638,607.1620527,6307.603984,6318.05,2902.95473,5901.728684
Belgium,1993,5.561061256,4.536616743,89.87256005,52.00862618,284.4108884,2161.229438,3552.687049,408.6130666,4726.065225,578.7849233,15398.71472,8357.367939,21080.59717,24863.97332,2.370580136,1.84412171,613.5539494,6298.335763,6318.24,2860.682085,5764.313018
Belgium,1994,5.420574736,4.483980413,83.64425236,56.79586991,261.0463379,2111.111034,3546.211033,436.0263585,4603.328467,591.2344526,15161.78128,8368.389134,20662.56125,24749.55283,2.750125204,1.653033019,615.852674,6205.748343,6232.74,2797.920364,5605.404832
Belgium,1995,5.665131264,4.772838087,80.09089034,59.4473884,223.6372758,2085.96572,3477.285689,458.7368642,4529.638962,614.5376314,15066.65172,8389.330193,20405.91138,24883.13256,2.947268486,1.427809763,618.3128146,6194.754946,6228.2,2764.091004,5497.068222
Belgium,1996,5.625749339,4.838141885,75.6334325,60.25970685,194.570683,2036.736784,3288.993043,466.8380987,4424.109738,555.7175601,14930.44178,8345.100997,20194.93251,24605.53359,2.204177928,1.297689563,624.5090652,6127.349941,6165.82,2723.929478,5372.90775
Belgium,1997,5.811401206,5.09717967,71.70519547,67.77669098,190.9939271,2022.821177,3129.149024,481.9172948,4378.015206,479.0238588,14960.17457,8449.607487,20010.34513,24732.41365,2.986643036,1.319860159,642.4536313,6122.846115,6165.66,2701.307334,5327.167452
Belgium,1998,6.17880855,5.525993973,69.87075571,70.70947841,177.8533631,2010.855465,2927.459955,492.9144058,4322.636411,448.1478814,14987.96124,8567.124366,19945.33793,24782.26861,3.099870866,1.379136071,680.3591187,6108.018676,6152.16,2690.965763,5297.297888
Belgium,1999,6.48177891,5.912452664,67.5208888,81.99042718,165.8818754,1994.448948,2854.317509,517.9720175,4251.148162,432.075459,15030.00192,8643.256114,19791.85163,24878.82947,2.273816557,1.366706034,702.40305,6082.508131,6128.2,2682.19601,5242.912741
Belgium,2000,7.26359941,6.727540118,65.50757989,98.52282544,159.2921272,1970.753981,2894.534363,533.3989447,4201.56267,429.2820732,14989.90862,8674.931988,19804.33496,24883.22765,1.989454356,1.440954067,756.8383424,6051.590296,6098.54,2681.708372,5199.936514
